date,game_id,player,hgt,wgt,yr,number,min,o_rtg,percent_ps,pts,fgm_2,fga_2,fgm_3,fga_3,ftm,fta,or,dr,a,to,blk,stl,pf
Feb27,5087,Richie Saunders,6-5,200,So,15,22,66,19,5,1,3,1,4,0,1,1,3,0,1,0,1,1
Feb27,5087,Trey Stewart,6-2,188,Jr,1,7,NA,NA,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Mar02,5322,Dallin Hall,6-4,196,So,30,35,146,15,12,1,2,3,5,1,3,1,5,7,1,0,1,2
Mar02,5322,Spencer Johnson,6-5,195,Sr,20,32,100,18,10,4,6,0,2,2,3,0,4,3,2,0,0,4
Mar02,5322,Trevin Knell,6-5,186,Jr,21,21,135,30,20,3,3,4,10,2,2,1,1,1,1,0,0,2
Mar02,5322,Noah Waterman,6-11,220,Sr,0,18,60,24,4,2,3,0,2,0,1,2,2,0,3,2,0,0
Mar02,5322,Aly Khalifa,6-11,270,Jr,50,17,94,12,0,0,0,0,3,0,0,0,3,5,0,1,0,2
Mar02,5322,Jaxson Robinson,6-7,190,Sr,2,27,93,18,9,2,4,1,5,2,2,0,1,1,1,2,0,0
Mar02,5322,Richie Saunders,6-5,200,So,15,24,166,16,11,3,4,1,1,2,2,3,4,2,1,0,0,4
Mar02,5322,Fousseyni Traore,6-6,240,Jr,45,23,129,29,21,8,11,0,0,5,8,1,6,0,1,1,1,0
Mar02,5322,Trey Stewart,6-2,188,Jr,1,3,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mar02,5322,Atiki Ally Atiki,6-10,220,Jr,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar06,5457,Dallin Hall,6-4,196,So,30,34,73,20,7,1,4,1,5,2,4,2,2,3,3,0,1,3
Mar06,5457,Trevin Knell,6-5,186,Jr,21,28,112,11,6,0,1,1,4,3,4,0,3,1,0,0,1,3
Mar06,5457,Spencer Johnson,6-5,195,Sr,20,24,78,23,7,3,4,0,3,1,2,3,8,1,3,0,1,3
Mar06,5457,Aly Khalifa,6-11,270,Jr,50,22,94,16,3,0,0,1,6,0,0,0,5,6,1,2,0,3
Mar06,5457,Noah Waterman,6-11,220,Sr,0,18,52,17,3,0,2,1,1,0,0,1,3,0,3,3,1,0
Mar06,5457,Richie Saunders,6-5,200,So,15,26,158,20,20,4,6,3,6,3,3,0,3,0,0,0,0,2
Mar06,5457,Jaxson Robinson,6-7,190,Sr,2,24,96,23,11,3,4,1,4,2,2,0,1,1,3,0,1,0
Mar06,5457,Fousseyni Traore,6-6,240,Jr,45,18,75,32,6,3,6,0,0,0,1,6,5,1,4,3,0,4
Mar06,5457,Trey Stewart,6-2,188,Jr,1,5,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mar09,5562,Spencer Johnson,6-5,195,Sr,20,31,132,22,14,2,4,2,3,4,4,2,8,5,3,0,2,0
Mar09,5562,Dallin Hall,6-4,196,So,30,30,123,12,5,1,3,1,2,0,0,0,2,6,1,0,0,4
Mar09,5562,Trevin Knell,6-5,186,Jr,21,24,118,18,7,1,3,1,4,2,2,1,1,3,0,0,2,2
Mar09,5562,Noah Waterman,6-11,220,Sr,0,21,104,16,6,0,0,2,7,0,0,1,0,1,0,0,0,2
Mar09,5562,Aly Khalifa,6-11,270,Jr,50,16,127,26,9,0,1,3,6,0,0,1,3,3,1,1,1,0
Mar09,5562,Jaxson Robinson,6-7,190,Sr,2,24,109,28,17,6,7,1,5,2,2,0,5,1,2,0,0,2
Mar09,5562,Fousseyni Traore,6-6,240,Jr,45,23,124,29,19,8,11,0,0,3,6,1,4,1,1,2,1,2
Mar09,5562,Richie Saunders,6-5,200,So,15,22,120,14,8,1,1,2,4,0,1,1,4,1,1,0,0,3
Mar09,5562,Trey Stewart,6-2,188,Jr,1,8,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar09,5562,Atiki Ally Atiki,6-10,220,Jr,4,1,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mar13,6017,Spencer Johnson,6-5,195,Sr,20,35,103,23,9,1,2,1,5,4,4,1,7,7,4,0,1,2
Mar13,6017,Noah Waterman,6-11,220,Sr,0,29,150,9,9,3,3,1,3,0,0,0,5,1,0,1,0,3
Mar13,6017,Dallin Hall,6-4,196,So,30,27,113,25,13,1,3,3,7,2,2,0,3,4,2,0,0,3
Mar13,6017,Trevin Knell,6-5,186,Jr,21,23,155,14,12,1,3,2,2,4,5,0,5,0,0,0,0,2
Mar13,6017,Aly Khalifa,6-11,270,Jr,50,17,149,24,8,0,2,2,4,2,2,0,0,5,0,0,0,1
Mar13,6017,Jaxson Robinson,6-7,190,Sr,2,24,82,19,8,0,3,2,5,2,2,0,1,0,1,0,0,2
Mar13,6017,Fousseyni Traore,6-6,240,Jr,45,20,139,30,14,4,5,0,0,6,8,4,6,1,2,3,1,2
Mar13,6017,Richie Saunders,6-5,200,So,15,20,148,17,13,1,2,3,4,2,4,1,3,0,0,0,0,3
Mar13,6017,Trey Stewart,6-2,188,Jr,1,2,NA,NA,1,0,0,0,0,1,2,0,0,0,0,0,0,1
Mar14,6033,Dallin Hall,6-4,196,So,30,34,67,13,2,0,3,0,3,2,2,0,2,7,1,0,2,2
Mar14,6033,Spencer Johnson,6-5,195,Sr,20,29,80,16,7,2,4,1,5,0,0,1,6,1,1,0,0,2
Mar14,6033,Noah Waterman,6-11,220,Sr,0,25,108,16,8,4,4,0,3,0,0,3,2,0,1,1,0,4
Mar14,6033,Trevin Knell,6-5,186,Jr,21,24,94,12,4,1,1,0,4,2,2,1,0,2,0,0,0,2
Mar14,6033,Aly Khalifa,6-11,270,Jr,50,8,NA,NA,3,1,2,0,2,1,2,2,0,1,0,0,0,0
Mar14,6033,Jaxson Robinson,6-7,190,Sr,2,29,84,34,18,2,6,4,12,2,2,0,5,1,3,0,1,4
Mar14,6033,Fousseyni Traore,6-6,240,Jr,45,25,103,22,13,6,8,0,0,1,2,0,3,2,3,0,1,1
Mar14,6033,Richie Saunders,6-5,200,So,15,22,111,22,12,2,3,2,6,2,2,1,5,0,1,0,0,5
Mar14,6033,Trey Stewart,6-2,188,Jr,1,4,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mar21,6134,Dallin Hall,6-4,196,So,30,36,138,14,11,2,3,1,3,4,5,0,0,6,1,0,4,2
Mar21,6134,Spencer Johnson,6-5,195,Sr,20,35,112,17,11,3,5,1,2,2,2,3,13,3,3,0,0,3
Mar21,6134,Aly Khalifa,6-11,270,Jr,50,16,16,24,0,0,2,0,4,0,0,1,1,1,2,1,0,0
Mar21,6134,Noah Waterman,6-11,220,Sr,0,15,72,12,3,0,2,1,1,0,0,0,2,0,1,0,1,2
Mar21,6134,Trevin Knell,6-5,186,Jr,21,14,74,15,2,1,1,0,2,0,0,1,2,1,1,0,0,3
Mar21,6134,Jaxson Robinson,6-7,190,Sr,2,35,142,22,25,3,4,5,11,4,4,1,1,1,1,0,0,3
Mar21,6134,Richie Saunders,6-5,200,So,15,26,83,17,4,1,4,0,1,2,2,1,2,4,2,0,0,4
Mar21,6134,Fousseyni Traore,6-6,240,Jr,45,23,92,27,11,4,12,0,0,3,4,1,3,0,0,1,1,1
